user_id,view_date,view_timestamp,car_id,view_duration_seconds,view_source
fa6d9e9d-c992-4415-891a-5d2a52a1d09b,2025-04-11,2025-04-11 21:08:22.000+0000,0c300379-3350-4a65-9655-c252fd9e6bbe,69,SEARCH
fa6d9e9d-c992-4415-891a-5d2a52a1d09b,2025-04-02,2025-04-02 23:34:26.000+0000,ac24aab0-688b-4d8d-9fea-040717bcbc76,202,ADVERTISEMENT
fa6d9e9d-c992-4415-891a-5d2a52a1d09b,2025-04-02,2025-04-02 23:29:15.000+0000,f20408aa-b3c2-43f0-b43d-a3c5cc45e379,63,RECOMMENDATION
fa6d9e9d-c992-4415-891a-5d2a52a1d09b,2025-04-02,2025-04-02 16:56:31.000+0000,ba32a975-06dc-4eb4-a367-0ebd9e949116,103,SEARCH
8d26bf52-ef6e-41cb-851e-35d89f7265da,2025-04-17,2025-04-17 02:06:29.000+0000,b0356e8f-8fee-4d58-bb4e-4951eb5210b8,182,ADVERTISEMENT
4750021f-1c9f-4775-a2e6-81acbd804d4e,2025-04-17,2025-04-17 08:40:39.000+0000,94455058-e79b-44cb-85d1-f1c2cf8ee3e5,56,ADVERTISEMENT
4750021f-1c9f-4775-a2e6-81acbd804d4e,2025-04-17,2025-04-17 01:10:46.000+0000,cf368cdb-05a4-462d-853f-5ed520e89280,271,ADVERTISEMENT
fa6d9e9d-c992-4415-891a-5d2a52a1d09b,2025-04-21,2025-04-21 08:04:24.000+0000,5b657c3f-431d-43a2-afc4-83dfb0b3fe3c,172,ADVERTISEMENT
4750021f-1c9f-4775-a2e6-81acbd804d4e,2025-04-06,2025-04-06 15:00:32.000+0000,f30d2874-7670-4e6a-9b09-dd79669c1443,150,ADVERTISEMENT
d14b281b-e23e-4c35-9f6e-c2a4485e8399,2025-04-14,2025-04-14 07:39:26.000+0000,a9f9e21e-9e48-4b6f-a1f9-151521686a7d,154,SEARCH
d14b281b-e23e-4c35-9f6e-c2a4485e8399,2025-04-14,2025-04-14 04:21:47.000+0000,cf7cc3ee-9cee-4625-a7f7-c1d87cca116f,84,SEARCH
6635e9b6-ab2c-405e-a332-0a38c3938fb3,2025-04-25,2025-04-25 12:49:03.000+0000,56100bc9-3aa9-4adc-81d3-314e70235ba8,89,BROWSE
68da4cfc-e7a7-478e-958e-45838a9f85a5,2025-04-19,2025-04-19 23:39:59.000+0000,3b0766d8-1a70-4ccc-9edb-5b69d7405a67,93,SEARCH
68da4cfc-e7a7-478e-958e-45838a9f85a5,2025-04-19,2025-04-19 11:18:06.000+0000,5ae664da-218d-4e7e-8c8a-025d3a2e1e5b,135,RECOMMENDATION
6635e9b6-ab2c-405e-a332-0a38c3938fb3,2025-03-28,2025-03-28 08:20:45.000+0000,0332c48e-bd6e-4bcf-aa31-12ac31c8bad2,111,RECOMMENDATION
4750021f-1c9f-4775-a2e6-81acbd804d4e,2025-04-15,2025-04-15 15:03:56.000+0000,697f271e-8c79-4266-849a-539b4489b87d,109,ADVERTISEMENT
4750021f-1c9f-4775-a2e6-81acbd804d4e,2025-04-15,2025-04-15 10:42:11.000+0000,4111e88f-e6d5-4b47-ae06-a2096e6926e3,250,RECOMMENDATION
b8b86974-00b8-4153-ba31-e2471b42e66b,2025-04-11,2025-04-11 12:21:22.000+0000,43415574-265c-4696-8c1e-7a524f9bd182,119,BROWSE
c71cf3b3-45b4-4b6d-ad35-747a9eded3e8,2025-03-27,2025-03-27 22:53:54.000+0000,0227ee9c-11cf-4e0d-83e9-205a061e5ce6,173,BROWSE
f85259c1-4f26-4e8e-b10b-78c89f90b40a,2025-04-18,2025-04-18 21:49:05.000+0000,2f6dfa3c-daea-4715-8004-470d081fcd5c,89,SEARCH
f85259c1-4f26-4e8e-b10b-78c89f90b40a,2025-04-18,2025-04-18 19:59:04.000+0000,295c3fff-8d2f-49c8-bb1a-ccaa6bdb0305,299,BROWSE
f85259c1-4f26-4e8e-b10b-78c89f90b40a,2025-04-18,2025-04-18 05:49:53.000+0000,8f2be02b-6a6c-4ab6-97bc-9cdecc2ec6fa,128,SEARCH
89506577-1d65-4d3d-8804-6974018ce3c7,2025-04-06,2025-04-06 14:00:17.000+0000,7546d4a3-9906-4f40-8e05-26688691a049,114,RECOMMENDATION
4838c702-86d8-4669-b449-64ca455d401a,2025-04-18,2025-04-18 17:23:56.000+0000,539d97db-1c1e-4d40-bea2-48e564730b21,269,SEARCH
baf8ad1c-280d-4c55-9b11-839b94058999,2025-03-31,2025-03-31 13:47:17.000+0000,4cbff94f-79bf-482b-954b-f6b4a116d472,174,SEARCH
d76a9bb8-e687-4cdf-a690-f3ca73b15a74,2025-04-22,2025-04-22 07:19:51.000+0000,6f453c5e-3a77-4109-a432-24b2cf307694,162,BROWSE
d76a9bb8-e687-4cdf-a690-f3ca73b15a74,2025-04-10,2025-04-10 10:52:53.000+0000,4d9ab875-2567-4730-aa7e-accca16118ed,189,ADVERTISEMENT
f055c7a1-263d-41d4-b4f5-b79aea6e3942,2025-04-24,2025-04-24 05:57:22.000+0000,6fdcbc87-981e-4400-9b65-441986afadb8,263,ADVERTISEMENT
c03dcfa7-04e5-4eb7-8f6a-766957d1568c,2025-04-22,2025-04-22 18:38:56.000+0000,ffb0da9f-80f7-4a98-a5dd-8b519f35ac5f,277,ADVERTISEMENT
c71cf3b3-45b4-4b6d-ad35-747a9eded3e8,2025-03-30,2025-03-30 10:56:32.000+0000,9ca668a8-a998-44e0-946e-9a6669193983,8,ADVERTISEMENT
d69ad319-f035-4216-840e-4bb082340673,2025-04-08,2025-04-08 15:05:56.000+0000,b311845e-70c0-48dc-a6c4-7a0804ddcd2c,171,ADVERTISEMENT
d14b281b-e23e-4c35-9f6e-c2a4485e8399,2025-04-18,2025-04-18 03:18:12.000+0000,0a8e38df-d96c-4528-94f9-50fceeea2d23,265,RECOMMENDATION
4750021f-1c9f-4775-a2e6-81acbd804d4e,2025-04-05,2025-04-05 18:47:07.000+0000,4b76473b-cf34-48e5-877b-3257e8c26527,115,RECOMMENDATION
46559fd0-dcb5-4696-93d8-ecb1d3d80d6d,2025-03-26,2025-03-26 13:28:42.000+0000,e7952845-334f-4010-9423-96cd59360c79,221,ADVERTISEMENT
46559fd0-dcb5-4696-93d8-ecb1d3d80d6d,2025-03-26,2025-03-26 11:29:44.000+0000,b44afdde-4742-478e-a444-44f0b96b053b,192,ADVERTISEMENT
46559fd0-dcb5-4696-93d8-ecb1d3d80d6d,2025-03-26,2025-03-26 09:34:07.000+0000,1b48630b-50bd-4a4a-baa4-4154d002a36c,219,ADVERTISEMENT
4c7dfbac-aa12-4940-a27d-5eac75897bca,2025-04-01,2025-04-01 11:59:42.000+0000,2690c368-b2c6-4a70-96a3-ae6af0a3137e,262,RECOMMENDATION
3fe357b3-9b47-4f1d-9a20-b7bcd2083310,2025-04-02,2025-04-02 07:30:12.000+0000,4eb7b174-8887-4759-955b-88d14e34e61d,204,ADVERTISEMENT
3fe357b3-9b47-4f1d-9a20-b7bcd2083310,2025-04-02,2025-04-02 00:17:38.000+0000,c5e49248-5ce6-4779-a9f3-51acb45ea8b9,81,SEARCH
8a1be363-9332-42f1-83db-fadc46b6b54a,2025-04-18,2025-04-18 23:34:08.000+0000,328a3d4a-9b00-44e2-9255-b25cc0e93bbc,116,BROWSE
